Month,Price (EUR/MWh)
2019-01,60.476290322580645
2015-08,42.438333333333375
2017-06,32.71568055555554
2019-05,38.000094086021484
2015-11,43.107388888888906
2021-12,245.43034946236543
2020-02,28.351520803443343
2016-11,62.32376388888884
2021-10,165.37045698924723
2024-03,61.13094086021507
2022-02,162.60441307577995
2021-05,55.61337365591395
2020-10,39.38008064516133
2017-03,34.46643817204298
2019-10,37.61966397849459
2024-08,65.52771505376334
2019-06,27.485680555555565
2016-10,57.187862903225756
2018-04,37.74448611111112
2021-09,136.14890277777778
2020-07,29.872083333333332
2019-09,33.58500000000002
2025-02,138.16154471544735
2023-11,91.52887500000007
2019-12,36.36139784946232
2023-10,86.33564516129034
2017-05,37.20329301075272
2021-08,79.55462365591401
2019-02,47.5510401188708
2017-10,49.0077150537635
2015-02,50.52484398216937
2016-06,30.698458333333317
2023-07,75.28693548387096
2017-12,55.02456989247317
2018-03,50.70198924731191
2015-01,43.17981510015402
2021-01,57.44375
2024-11,108.94943055555542
2018-10,76.05317204301068
2021-07,77.37272849462367
2019-03,37.60865591397847
2020-08,35.553239247311836
2024-10,78.12884408602147
2022-08,448.1226075268818
2018-09,68.7222638888889
2016-09,37.72795833333336
2023-12,69.25731182795697
2017-04,37.31644444444443
2020-06,25.590027777777774
2024-06,60.922500000000056
2022-03,265.5127016129032
2020-01,37.8471505376344
2024-07,54.5857795698924
2016-03,27.120040322580632
2023-02,143.4903268945023
2020-09,44.22519444444447
2023-08,92.05321236559129
2015-04,47.689874999999915
2022-11,180.69505555555563
2019-11,44.40820833333333
2015-10,55.4305510752688
2020-05,15.408602150537634
2022-01,191.56244623655945
2018-12,59.6639247311828
2019-04,37.924375000000026
2022-06,219.29344444444465
2024-05,54.44751344086024
2018-05,44.555067204301075
2016-01,32.59916666666665
2018-06,49.932680555555564
2022-05,176.66571236559136
2017-02,47.52040118870725
2018-02,47.39029717682024
2015-12,35.93720430107527
2021-03,46.627594086021475
2023-06,93.16801388888894
2017-07,33.548360215053755
2024-09,66.40511111111105
2024-01,78.62653225806456
2018-01,36.80581989247311
2019-08,33.69479838709678
2024-04,48.03690277777774
2017-09,37.19795833333331
2016-12,54.91942204301073
2015-09,52.48706944444446
2020-11,39.934777777777704
2018-11,77.72749999999999
2021-11,202.16886111111097
2015-07,42.580806451612915
2016-08,28.906814516129025
2018-07,52.95994623655913
2015-05,37.577836021505334
2020-04,14.679916666666683
2023-03,109.47641129032257
2022-09,345.72647222222224
2016-07,31.320510752688175
2018-08,60.73717741935488
2019-07,37.76282258064514
2016-04,25.427319444444446
2023-01,130.8662231182795
2023-09,94.35141666666667
2021-02,48.55413075780092
2017-01,72.66069892473112
2022-12,268.8768279569896
2022-10,157.50724462365577
2016-05,25.378037634408567
2023-05,80.11127688172049
2015-03,47.04982526881717
2020-12,47.395591397849444
2022-04,186.71780555555551
2025-01,112.16737903225808
2022-07,321.5475940860218
2024-02,61.48571018651361
2024-12,105.10233870967738
2023-04,105.62295833333341
2015-06,39.11551388888892
2017-08,31.79092741935484
2016-02,25.396097560975612
2017-11,66.62538888888896
2021-06,74.49495833333327
2021-04,57.03651388888891
2020-03,24.022647849462352
